OrgName,Cities,ST,AnyAMT,AnyAMTDate
Olde Cypress  ,Clewiston,FL,28864,9/3/12
Turnberry ,Aventura,FL,32280,9/3/12
Metro   Dade ,Miami,FL,25172,9/3/12
First National    South,Spartanburg,SC,35383,9/3/12
Woodls ,Bluffton,SC,32571,9/3/12
Home National ,Blackwell,OK,11636,8/27/12
USA ,Port Chester,NY,58072,8/27/12
Ideal  Savings ,Baltimore,MD,32456,8/27/12
Bay National ,Baltimore,MD,35462,8/27/12
High Desert  ,Albuquerque,NM,35279,8/13/12
First National ,Savannah,GA,34152,8/13/12
Peninsula ,Englewood,FL,26563,8/13/12
Nevada Security ,Reno,NV,57110,8/6/12
Washington First International ,Seattle,WA,32955,7/30/12
TierOne ,Lincoln,NE,29341,7/23/12
Arcola Homestead Savings ,Arcola,IL,31813,7/23/12
First National ,Rosedale,MS,15814,7/23/12
Sun West ,Las Vegas,NV,34785,7/16/12
Granite   NA,Granite Bay,CA,57315,7/16/12
  Flida  Tampa,Tampa,FL,57814,7/16/12
  Flida  Southwest,Naples,FL,35106,7/16/12
  Flida  Souast,Fort Lauderdale,FL,57360,7/16/12
Pinehurst ,Saint Paul,MN,57735,7/9/12
Midwest   Trust ,Elmwood Park,IL,18117,7/2/12
Southwest  ,Springfield,MO,34255,7/2/12
New Liberty ,Plymouth,MI,35586,7/2/12
Satilla  ,Saint Marys,GA,35114,7/2/12
1st Pacific   Calinia,San Diego,CA,35517,6/25/12
Towne   Arizona,Mesa,AZ,57697,6/25/12
Access ,Champlin,MN,16476,6/25/12
   Bonifay,Bonifay,FL,14246,6/25/12
Frontier ,Everett,WA,22710,6/18/12
BC National s,Butler,MO,17792,6/18/12
Champion ,Creve Coeur,MO,58362,6/18/12
CF Bancp,Port Huron,MI,30005,6/18/12
Western Puerto Rico,Mayaguez,PR,31027,6/18/12
RG Premier   Puerto Rico,Hato Rey,PR,32185,6/18/12
Euro,San Juan,PR,27150,6/18/12
Wheatl ,Naperville,IL,58429,6/11/12
Peotone   Trust ,Peotone,IL,10888,6/11/12
Lincoln Park Savings ,Chicago,IL,30600,6/11/12
New Century ,Chicago,IL,34821,6/11/12
s   Trust   Chicago,Chicago,IL,34658,6/11/12
Broadway ,Chicago,IL,22853,6/11/12
Amce  National Association,Rockford,IL,3735,6/11/12
abcs,Lynnwood,WA,21521,6/4/12
Tamalpais ,San Rafael,CA,33493,6/4/12
Innovative ,Oakland,CA,23876,6/4/12
Butler ,Lowell,MA,26619,6/4/12
Riverside National   Flida,Fort Pierce,FL,24067,6/4/12
AmericanFirst ,Clermont,FL,57724,6/4/12
First    Nth Flida,Palatka,FL,28886,6/4/12
Lakeside  ,Sterling Heights,MI,34878,6/4/12
Beach First National ,Myrtle Beach,SC,34242,5/28/12
Desert Hills ,Phoenix,AZ,57060,5/14/12
Unity National ,Cartersville,GA,34678,5/14/12
Key West ,Key West,FL,34684,5/14/12
McIntosh  ,Carrollton,GA,57399,5/14/12
   Aura,Aurora,MN,8221,5/7/12
First Lowndes ,Fort Deposit,AL,24957,5/7/12
  Hiawassee,Hiawassee,GA,10054,5/7/12
Appalachian  ,Ellijay,GA,33989,5/7/12
Advanta  Cp.,Draper,UT,33535,5/7/12
Century Security ,Duluth,GA,58104,5/7/12
American National ,Parma,OH,18806,5/7/12
wide ,Covington,LA,29561,4/30/12
Old Sourn ,Orlando,FL,58182,4/30/12
 Park Avenue ,New York,NY,27096,4/30/12
LibertyPointe ,New York,NY,58071,4/29/12
Centennial ,Ogden,UT,34430,4/23/12
Waterfield ,Germantown,MD,34976,4/23/12
  Illinois,Normal,IL,9268,4/23/12
Sun American ,Boca Raton,FL,27126,4/23/12
Rainier Pacific ,Tacoma,WA,38129,4/16/12
Carson River  ,Carson City,NV,58352,4/16/12
La Jolla  FSB,La Jolla,CA,32423,4/9/12
Gege Washington Savings ,Orland Park,IL,29952,4/9/12
 La Coste National ,La Coste,TX,3287,4/9/12
Marco  ,Marco Island,FL,57586,4/9/12
1st American    Minnesota,Hancock,MN,15448,3/26/12
American Marine ,Bainbridge Island,WA,16730,3/19/12
First Regional ,Los Angeles,CA,23011,3/19/12
   Trust,Cornelia,GA,5702,3/19/12
Marshall  N.A.,Hallock,MN,16133,3/19/12
Flida  ,Immokalee,FL,5672,3/19/12
First National   Gegia,Carrollton,GA,16480,3/19/12
